aspect,class,components,fill,image,mask,mask_area_ratio,method,new_image,new_mask,score,selection_score,source
14.8571,균열,1,0.3202,data/crack_only_gan_optimized_1100/train/B/01083_crackseg_train_crackseg_train_3077.rf.3cc4879845fd30567aa2e2cb70eb2478.jpg,data/crack_only_gan_optimized_1100/train/mask/01083_crackseg_train_crackseg_train_3077.rf.3cc4879845fd30567aa2e2cb70eb2478.png,0.021554,crackseg_train,B_0001.png,B_0001.png,0.9838,-0.18998332453061073,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/3077.rf.3cc4879845fd30567aa2e2cb70eb2478.jpg
12.6061,균열,1,0.2708,data/crack_only_gan_optimized_1100/train/B/01047_crackseg_test_crackseg_test_3351.rf.1c54d04ac035ecc049785b24e7435668.jpg,data/crack_only_gan_optimized_1100/train/mask/01047_crackseg_test_crackseg_test_3351.rf.1c54d04ac035ecc049785b24e7435668.png,0.021479,crackseg_test,B_0002.png,B_0002.png,0.9846,-0.18765361917147688,/home/lim-hyun-su/defect_synthesis/crack-seg/images/test/3351.rf.1c54d04ac035ecc049785b24e7435668.jpg
11.8857,균열,1,0.2532,data/crack_only_gan_optimized_1100/train/B/00993_crackseg_train_crackseg_train_3164.rf.1fcda22b72e4843c47069e471258257f.jpg,data/crack_only_gan_optimized_1100/train/mask/00993_crackseg_train_crackseg_train_3164.rf.1fcda22b72e4843c47069e471258257f.png,0.021305,crackseg_train,B_0003.png,B_0003.png,0.9863,-0.17937306683581375,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/3164.rf.1fcda22b72e4843c47069e471258257f.jpg
17.0417,균열,1,0.3639,data/crack_only_gan_optimized_1100/train/B/00948_crackseg_val_crackseg_val_3075.rf.e8881980f2f338ee9861607cca81d9fa.jpg,data/crack_only_gan_optimized_1100/train/mask/00948_crackseg_val_crackseg_val_3075.rf.e8881980f2f338ee9861607cca81d9fa.png,0.020641,crackseg_val,B_0004.png,B_0004.png,0.9870,-0.1615940082009731,/home/lim-hyun-su/defect_synthesis/crack-seg/images/val/3075.rf.e8881980f2f338ee9861607cca81d9fa.jpg
11.3056,균열,1,0.2503,data/crack_only_gan_optimized_1100/train/B/00930_crackseg_val_crackseg_val_3074.rf.63d92fcf393c6cd4a012890eb4e0840b.jpg,data/crack_only_gan_optimized_1100/train/mask/00930_crackseg_val_crackseg_val_3074.rf.63d92fcf393c6cd4a012890eb4e0840b.png,0.021190,crackseg_val,B_0005.png,B_0005.png,0.9875,-0.16125649729922975,/home/lim-hyun-su/defect_synthesis/crack-seg/images/val/3074.rf.63d92fcf393c6cd4a012890eb4e0840b.jpg
12.2353,균열,1,0.2521,data/crack_only_gan_optimized_1100/train/B/00615_crackseg_train_crackseg_train_2060.rf.8eae955563b30fafae8c8fef8ea5792e.jpg,data/crack_only_gan_optimized_1100/train/mask/00615_crackseg_train_crackseg_train_2060.rf.8eae955563b30fafae8c8fef8ea5792e.png,0.020606,crackseg_train,B_0006.png,B_0006.png,0.9935,-0.15997089740696435,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/2060.rf.8eae955563b30fafae8c8fef8ea5792e.jpg
16.6400,균열,1,0.3415,data/crack_only_gan_optimized_1100/train/B/00570_crackseg_train_crackseg_train_2446.rf.f1f19a65fea0006bed5916d7185d0601.jpg,data/crack_only_gan_optimized_1100/train/mask/00570_crackseg_train_crackseg_train_2446.rf.f1f19a65fea0006bed5916d7185d0601.png,0.020525,crackseg_train,B_0007.png,B_0007.png,0.9944,-0.1573387812871146,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/2446.rf.f1f19a65fea0006bed5916d7185d0601.jpg
11.0270,균열,1,0.2436,data/crack_only_gan_optimized_1100/train/B/00957_crackseg_train_crackseg_train_2013.rf.fff79e6d9813edd3020cc90f2f8d04ee.jpg,data/crack_only_gan_optimized_1100/train/mask/00957_crackseg_train_crackseg_train_2013.rf.fff79e6d9813edd3020cc90f2f8d04ee.png,0.021253,crackseg_train,B_0008.png,B_0008.png,0.9868,-0.15627714553685484,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/2013.rf.fff79e6d9813edd3020cc90f2f8d04ee.jpg
17.3333,균열,1,0.3542,data/crack_only_gan_optimized_1100/train/B/00642_crackseg_train_crackseg_train_1807.rf.de5b6f84e4d4592a0f666d78b3ba85e5.jpg,data/crack_only_gan_optimized_1100/train/mask/00642_crackseg_train_crackseg_train_1807.rf.de5b6f84e4d4592a0f666d78b3ba85e5.png,0.020433,crackseg_train,B_0009.png,B_0009.png,0.9935,-0.15449071191983393,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/1807.rf.de5b6f84e4d4592a0f666d78b3ba85e5.jpg
13.4194,균열,1,0.2740,data/crack_only_gan_optimized_1100/train/B/00525_crackseg_train_crackseg_train_1815.rf.b1e5905b8cded594030f5bb8f8f96e06.jpg,data/crack_only_gan_optimized_1100/train/mask/00525_crackseg_train_crackseg_train_1815.rf.b1e5905b8cded594030f5bb8f8f96e06.png,0.020421,crackseg_train,B_0010.png,B_0010.png,0.9955,-0.1539488643541455,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/1815.rf.b1e5905b8cded594030f5bb8f8f96e06.jpg
